organisation,link,tech
52° North GmbH,https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/,"['java', 'android', 'javascript', 'python', 'react']"
Accord Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5947521500708864/,"['javascript', 'react', 'coq', 'ocaml', 'compiler']"
Canadian Centre for Computational Genomics,https://summerofcode.withgoogle.com/archive/2020/organizations/5106421244362752/,"['python', 'r-project', 'javascript', 'react', 'nodejs']"
Casbin,https://summerofcode.withgoogle.com/archive/2020/organizations/6587176113930240/,"['go', 'javascript', 'react', 'rust', 'python']"
Elastic,https://summerofcode.withgoogle.com/archive/2020/organizations/4573440532545536/,"['java', 'react', 'node.js', 'golang']"
GDevelop,https://summerofcode.withgoogle.com/archive/2020/organizations/5791816890187776/,"['javascript', 'c/c++', 'web development', 'game development', 'react']"
GraphQL Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6354766843609088/,"['graphql', 'javascript', 'react', 'node.js']"
JBoss Community,https://summerofcode.withgoogle.com/archive/2020/organizations/6073291866898432/,"['java', 'golang', 'react']"
Joplin,https://summerofcode.withgoogle.com/archive/2020/organizations/6331892753760256/,"['node.js', 'electron', 'react native', 'terminal-kit', 'react']"
Matrix,https://summerofcode.withgoogle.com/archive/2020/organizations/6400769936326656/,"['python', 'javascript', 'rust', 'go', 'react']"
Moira,https://summerofcode.withgoogle.com/archive/2020/organizations/5420871000260608/,"['golang', 'javascript', 'typescript', 'graphite', 'react']"
Open Genome Informatics,https://summerofcode.withgoogle.com/archive/2020/organizations/5089985813807104/,"['neo4j', 'python', 'javascript', 'react', 'r-project']"
Orcasound,https://summerofcode.withgoogle.com/archive/2020/organizations/6216078121762816/,"['elixir', 'react', 'javascript', 'python', 'raspberry pi']"
Rocket.Chat,https://summerofcode.withgoogle.com/archive/2020/organizations/4707433043197952/,"['javascript', 'react', 'reactnative', 'chatbots', 'ruby']"
